produkt_id;marke;name;stufe;preis_bekannt;preis_im_shop;lieferant;artikelnummer;EK_ECHT;QUELLE;STAND;STAFFEL
bandc-inspire-hoodie;B&C;Inspire Hooded Sweat;platzhalter;17,43;17,43;textil-grosshandel;BCWU33B;;;;
bandc-inspire-zip-hood;B&C;Inspire Zipped Hood Jacket;platzhalter;23,63;23,63;textil-grosshandel;BCWU35B;;;;
fotl-baseball-longsleeve;Fruit of the Loom;Baseball Longsleeve;platzhalter;5,51;5,51;textil-grosshandel;F296;;;;
fotl-baseball-t;Fruit of the Loom;Baseball T-Shirt;platzhalter;4,84;4,84;textil-grosshandel;F295;;;;
fotl-heavy-t;Fruit of the Loom;Heavy T;platzhalter;4,20;4,20;;;;;;
fotl-iconic195-longsleeve;Fruit of the Loom;Iconic 195 Ringspun Premium Long Sleeve T;platzhalter;6,80;6,80;;;;;;
fotl-iconic195-t;Fruit of the Loom;Iconic 195 Ringspun Premium T;platzhalter;5,40;5,40;;;;;;
fotl-ladies-iconic195-t;Fruit of the Loom;Ladies Iconic 195 Ringspun Premium T;platzhalter;5,30;5,30;;;;;;
fotl-ladies-original-t;Fruit of the Loom;Ladies Original T;platzhalter;3,60;3,60;;;;;;
fotl-ladies-valueweight-t;Fruit of the Loom;Ladies Valueweight T;platzhalter;2,50;2,50;;;;;;
fotl-ladies-valueweight-vneck;Fruit of the Loom;Ladies Valueweight V-Neck T;platzhalter;2,60;2,60;;;;;;
fotl-original-longsleeve;Fruit of the Loom;Original Long Sleeve T;platzhalter;5,80;5,80;;;;;;
fotl-original-t;Fruit of the Loom;Original T;platzhalter;3,20;3,20;;;;;;
fotl-original-vneck;Fruit of the Loom;Original V-Neck T;platzhalter;3,80;3,80;textil-grosshandel;F272;;;;
fotl-premium-polo;Fruit of the Loom;Premium Polo;platzhalter;7,62;7,62;textil-grosshandel;F511N;;;;
fotl-ladies-premium-polo;Fruit of the Loom;Premium Polo Lady-Fit;platzhalter;7,80;7,80;textil-grosshandel;F520;;;;
fotl-pure-cotton-t;Fruit of the Loom;Pure Cotton T;platzhalter;3,40;3,40;;;;;;
fotl-super-premium-t;Fruit of the Loom;Super Premium T;platzhalter;5,40;5,40;;;;;;
fotl-valueweight-t;Fruit of the Loom;Valueweight T;bekannt;4,00;2,50;;;;;;
fotl-valueweight-vneck;Fruit of the Loom;Valueweight V-Neck T;platzhalter;2,60;2,60;;;;;;
gildan-zip-hoodie;Gildan;Heavy Blend Full-Zip Hoodie;platzhalter;22,98;22,98;needen;GN960;;;;
gildan-ladies-heavy-t;Gildan;Heavy Cotton Ladies T-Shirt;platzhalter;3,29;3,29;needen;GN182;;;;
gildan-heavy-t;Gildan;Heavy Cotton T-Shirt;platzhalter;2,97;2,97;textil-grosshandel;G5000;;;;
gildan-softstyle-polo;Gildan;Softstyle Double Piqué Polo;platzhalter;6,25;6,25;textil-grosshandel;G64800;;;;
gildan-ladies-polo;Gildan;Softstyle Ladies Double Piqué Polo;platzhalter;6,25;6,25;textil-grosshandel;G64800L;;;;
gildan-ladies-t;Gildan;Softstyle Ladies T-Shirt;platzhalter;2,69;2,69;textil-grosshandel;G64000L;;;;
gildan-ladies-vneck-t;Gildan;Softstyle Ladies V-Neck T-Shirt;platzhalter;3,99;3,99;needen;GN647;;;;
gildan-vneck-t;Gildan;Softstyle V-Neck T-Shirt;platzhalter;3,76;3,76;textil-grosshandel;G64V00;;;;
jn-active-t;James+Nicholson;Men's Active-T;platzhalter;6,18;6,18;textil-grosshandel;JN358;;;;
jn-halfzip-sweat;James+Nicholson;Workwear Half Zip Sweat;platzhalter;29,78;29,78;textil-grosshandel;JN831;;;;
justhoods-quarterzip-sweat;Just Hoods;1/4 Zip Sweat;platzhalter;17,50;17,50;textil-grosshandel;JH046;;;;
justhoods-awdis-sweat;Just Hoods;AWDis Sweat;platzhalter;10,74;10,74;textil-grosshandel;JH030;;;;
justhoods-college-hoodie;Just Hoods;College Hoodie;platzhalter;14,40;14,40;textil-grosshandel;JH001;;;;
justhoods-contrast-hoodie;Just Hoods;Kontrast-Hoodie;platzhalter;16,50;16,50;textil-grosshandel;JH003;;;;
justhoods-zoodie;Just Hoods;Zoodie;platzhalter;18,95;18,95;textil-grosshandel;JH050;;;;
neutral-classic-polo;Neutral;Men's Classic Polo;platzhalter;19,69;19,69;textil-grosshandel;NE20080;;;;
neutral-rollsleeve-t;Neutral;Men's Roll Up Sleeve T-Shirt;platzhalter;9,92;9,92;textil-grosshandel;NE60012;;;;
russell-authentic-t;Russell;Authentic Tee Pure Organic;platzhalter;5,48;5,48;textil-grosshandel;Z108M;;;;
russell-ladies-authentic-t;Russell;Ladies Authentic Tee Pure Organic;platzhalter;5,48;5,48;textil-grosshandel;Z108F;;;;
russell-workwear-t;Russell;Workwear T-Shirt;platzhalter;9,77;9,77;textil-grosshandel;Z010;;;;
sols-north-fleece;SOL'S;Fleecejacket North;platzhalter;15,06;15,06;textil-grosshandel;L742;;;;
sols-imperial-t;SOL'S;Imperial T-Shirt;platzhalter;3,09;3,09;textil-grosshandel;L190;;;;
stedman-slimfit-t;Stedman;Classic-T Fitted;platzhalter;3,22;3,22;textil-grosshandel;S2010;;;;
